faceoffsLost,shotsAgainst,teamId,teamFullName,gameDate,shootoutGamesWon,ppGoalsFor,shotsFor,otLosses,gameId,shootoutGamesLost,penaltyKillPctg,ppPctg,faceoffWinPctg,gameLocationCode,faceoffsWon,ppOpportunities,wins,ties,goalsFor,opponentTeamAbbrev,gamesPlayed,points,losses,goalsAgainst,teamAbbrev,shNumTimes,ppGoalsAgainst
30,35,22,Edmonton Oilers,2013-11-17T01:00:00Z,0,0,23,0,2013020302,0,1.0,0.0,0.4545,R,25,2,1,0,4,CGY,1,2,0,2,EDM,3,0
30,14,22,Edmonton Oilers,2013-11-20T00:30:00Z,0,3,32,0,2013020319,0,1.0,0.75,0.4827,H,28,4,1,0,7,CBJ,1,2,0,0,EDM,1,0
24,25,22,Edmonton Oilers,2013-11-22T00:30:00Z,0,2,35,0,2013020333,0,1.0,0.4,0.5384,H,28,5,1,0,4,FLA,1,2,0,1,EDM,5,0
31,27,22,Edmonton Oilers,2013-11-26T00:30:00Z,0,0,25,0,2013020362,0,0.75,0.0,0.4745,H,28,3,0,0,1,CHI,1,0,1,5,EDM,4,1
29,33,22,Edmonton Oilers,2013-11-29T00:00:00Z,0,0,28,0,2013020379,0,1.0,0.0,0.4528,R,24,3,1,0,3,NSH,1,2,0,0,EDM,2,0
30,28,22,Edmonton Oilers,2013-11-30T00:00:00Z,0,1,27,0,2013020390,0,0.6,0.1428,0.4117,R,21,7,0,0,2,CBJ,1,0,1,4,EDM,5,2
35,45,22,Edmonton Oilers,2013-12-01T22:00:00Z,1,0,32,0,2013020405,0,1.0,0.0,0.3859,R,22,6,1,0,2,DAL,1,2,0,2,EDM,4,0
36,33,22,Edmonton Oilers,2013-12-04T00:30:00Z,0,1,33,0,2013020417,0,0.6666,0.1666,0.4375,H,28,6,0,0,2,PHX,1,0,1,6,EDM,3,1
39,35,22,Edmonton Oilers,2013-12-06T00:30:00Z,0,3,28,0,2013020431,0,1.0,0.4285,0.4428,H,31,7,1,0,8,COL,1,2,0,2,EDM,6,0
26,27,22,Edmonton Oilers,2013-12-08T01:00:00Z,0,0,31,1,2013020447,0,1.0,0.0,0.6,H,39,6,0,0,1,CGY,1,1,0,2,EDM,2,0
36,28,22,Edmonton Oilers,2013-12-11T00:30:00Z,0,1,29,0,2013020468,0,0.0,0.3333,0.4857,H,34,3,1,0,5,CAR,1,2,0,4,EDM,1,1
28,31,22,Edmonton Oilers,2013-12-13T00:30:00Z,0,0,41,0,2013020482,0,1.0,0.0,0.5254,H,31,3,0,0,2,BOS,1,0,1,4,EDM,1,0
32,40,22,Edmonton Oilers,2013-12-13T23:00:00Z,0,0,19,0,2013020486,0,0.0,0.0,0.3962,R,21,2,0,0,0,VAN,1,0,1,4,EDM,2,2
25,34,22,Edmonton Oilers,2013-12-15T22:00:00Z,0,0,25,0,2013020504,0,1.0,0.0,0.5535,R,31,2,0,0,2,ANA,1,0,1,3,EDM,2,0
25,40,22,Edmonton Oilers,2013-12-18T00:30:00Z,0,0,24,0,2013020520,0,1.0,0.0,0.5,R,25,2,0,0,0,LAK,1,0,1,3,EDM,2,0
34,39,22,Edmonton Oilers,2013-12-20T00:30:00Z,0,0,29,0,2013020532,0,0.5,0.0,0.5072,R,35,1,0,0,2,COL,1,0,1,4,EDM,2,1
27,33,22,Edmonton Oilers,2013-12-22T01:00:00Z,0,0,23,0,2013020549,0,0.8,0.0,0.5263,H,30,4,0,0,0,STL,1,0,1,6,EDM,5,1
24,20,22,Edmonton Oilers,2013-12-24T00:30:00Z,0,2,30,0,2013020564,0,0.75,0.25,0.6,H,36,8,1,0,6,WPG,1,2,0,2,EDM,4,1
30,27,22,Edmonton Oilers,2013-12-28T00:00:00Z,0,1,28,0,2013020575,0,1.0,0.25,0.4915,R,29,4,1,0,2,CGY,1,2,0,0,EDM,2,0
39,38,22,Edmonton Oilers,2013-12-29T01:00:00Z,0,1,16,1,2013020584,1,0.4,0.2,0.4729,H,35,5,0,0,3,PHI,1,1,0,3,EDM,5,3
27,45,22,Edmonton Oilers,2014-01-01T00:00:00Z,0,0,25,1,2013020609,0,1.0,0.0,0.5423,R,32,1,0,0,3,PHX,1,1,0,4,EDM,2,0
38,36,22,Edmonton Oilers,2014-01-03T00:30:00Z,0,0,24,0,2013020621,0,1.0,0.0,0.3214,R,18,3,0,0,1,SJS,1,0,1,5,EDM,3,0
28,37,22,Edmonton Oilers,2014-01-04T00:00:00Z,0,0,18,0,2013020625,0,1.0,0.0,0.4615,R,24,3,0,0,2,ANA,1,0,1,5,EDM,8,0
24,27,22,Edmonton Oilers,2014-01-05T23:00:00Z,0,1,26,0,2013020641,0,0.0,0.3333,0.5294,H,27,3,1,0,5,TBL,1,2,0,3,EDM,1,1
32,30,22,Edmonton Oilers,2014-01-08T00:30:00Z,0,0,18,0,2013020653,0,0.3333,0.0,0.4754,H,29,0,0,0,2,STL,1,0,1,5,EDM,3,2
28,28,22,Edmonton Oilers,2014-01-11T01:00:00Z,0,2,31,0,2013020673,0,0.75,0.5,0.5333,H,32,4,1,0,4,PIT,1,2,0,3,EDM,4,1
34,41,22,Edmonton Oilers,2014-01-12T23:00:00Z,0,0,21,0,2013020689,0,0.8,0.0,0.3928,R,22,1,0,0,3,CHI,1,0,1,5,EDM,5,1
28,30,22,Edmonton Oilers,2014-01-15T00:30:00Z,0,1,33,0,2013020706,0,0.0,0.5,0.4615,R,24,2,0,0,2,DAL,1,0,1,5,EDM,1,1
25,33,22,Edmonton Oilers,2014-01-17T00:00:00Z,0,0,21,0,2013020716,0,1.0,0.0,0.5901,R,36,4,0,0,1,MIN,1,0,1,4,EDM,3,0
25,39,22,Edmonton Oilers,2014-01-18T18:00:00Z,0,1,22,1,2013020725,0,1.0,0.2,0.4791,R,23,5,0,0,2,WPG,1,1,0,3,EDM,5,0
24,27,22,Edmonton Oilers,2014-01-22T00:30:00Z,0,0,29,0,2013020754,0,1.0,0.0,0.6,H,36,4,0,0,1,VAN,1,0,1,2,EDM,4,0
30,29,22,Edmonton Oilers,2014-01-25T00:30:00Z,0,0,39,0,2013020774,0,0.5,0.0,0.4827,H,28,5,0,0,3,PHX,1,0,1,4,EDM,2,1
27,35,22,Edmonton Oilers,2014-01-26T23:00:00Z,0,2,27,0,2013020787,0,1.0,0.6666,0.5573,H,34,3,1,0,5,NSH,1,2,0,1,EDM,3,0
36,27,22,Edmonton Oilers,2014-01-28T00:00:00Z,0,0,20,0,2013020793,0,1.0,0.0,0.4545,R,30,3,1,0,4,VAN,1,2,0,2,EDM,2,0
34,59,22,Edmonton Oilers,2014-01-30T00:30:00Z,0,1,27,0,2013020807,0,1.0,0.5,0.5142,H,36,2,1,0,3,SJS,1,2,0,0,EDM,3,0
27,41,22,Edmonton Oilers,2014-02-01T18:00:00Z,0,0,22,0,2013020824,0,0.6,0.0,0.4489,R,22,4,0,0,0,BOS,1,0,1,4,EDM,5,2
41,44,22,Edmonton Oilers,2014-02-04T00:00:00Z,0,0,28,0,2013020837,0,0.8333,0.0,0.4142,R,29,5,1,0,3,BUF,1,2,0,2,EDM,6,1
32,36,22,Edmonton Oilers,2014-02-07T00:00:00Z,0,0,31,0,2013020857,0,0.0,0.0,0.4482,R,26,1,1,0,2,NYR,1,2,0,1,EDM,0,0
12,24,22,Edmonton Oilers,2014-02-08T00:00:00Z,0,0,20,1,2013020867,0,1.0,0.0,0.6923,R,27,3,0,0,1,NJD,1,1,0,2,EDM,3,0
24,21,22,Edmonton Oilers,2014-02-28T00:30:00Z,0,0,21,0,2013020897,0,1.0,0.0,0.5636,H,31,4,0,0,0,MIN,1,0,1,3,EDM,2,0
27,30,22,Edmonton Oilers,2014-03-02T01:00:00Z,0,0,22,1,2013020911,0,1.0,0.0,0.5846,H,38,2,0,0,1,CGY,1,1,0,2,EDM,3,0
29,36,22,Edmonton Oilers,2014-03-05T00:30:00Z,0,1,30,0,2013020932,0,1.0,0.5,0.5396,H,34,2,1,0,3,OTT,1,2,0,2,EDM,2,0
34,34,22,Edmonton Oilers,2014-03-07T00:30:00Z,0,1,29,0,2013020946,0,1.0,0.25,0.5,H,34,4,1,0,3,NYI,1,2,0,2,EDM,4,0
30,50,22,Edmonton Oilers,2014-03-09T22:00:00Z,0,0,27,0,2013020967,0,0.5,0.0,0.4827,H,28,3,0,0,2,LAK,1,0,1,4,EDM,2,1
42,31,22,Edmonton Oilers,2014-03-11T23:00:00Z,1,0,26,0,2013020983,0,0.75,0.0,0.3823,R,26,3,1,0,3,MIN,1,2,0,3,EDM,4,1
39,37,22,Edmonton Oilers,2014-03-13T23:00:00Z,0,0,25,0,2013020993,0,0.8,0.0,0.3606,R,22,3,0,0,2,STL,1,0,1,6,EDM,5,1
29,23,22,Edmonton Oilers,2014-03-14T23:30:00Z,0,0,22,1,2013020998,1,1.0,0.0,0.4821,R,27,2,0,0,1,DET,1,1,0,1,EDM,4,0
30,30,22,Edmonton Oilers,2014-03-16T19:00:00Z,0,1,33,0,2013021015,0,1.0,0.25,0.4827,R,28,4,1,0,2,CAR,1,2,0,1,EDM,3,0
36,29,22,Edmonton Oilers,2014-03-18T23:30:00Z,0,1,30,0,2013021035,0,1.0,0.25,0.4285,H,27,4,1,0,5,NSH,1,2,0,1,EDM,5,0
35,36,22,Edmonton Oilers,2014-03-20T23:30:00Z,0,1,36,0,2013021047,0,0.5,0.1666,0.4927,H,34,6,0,0,1,BUF,1,0,1,3,EDM,2,1
26,31,22,Edmonton Oilers,2014-03-23T00:00:00Z,0,1,25,0,2013021064,0,1.0,0.5,0.5,H,26,2,0,0,1,CGY,1,0,1,8,EDM,3,0
32,34,22,Edmonton Oilers,2014-03-25T23:30:00Z,0,0,30,0,2013021088,0,0.0,0.0,0.4576,H,27,2,0,0,2,SJS,1,0,1,5,EDM,3,3
33,51,22,Edmonton Oilers,2014-03-28T23:30:00Z,0,0,23,0,2013021107,0,1.0,0.0,0.5416,H,39,1,1,0,4,ANA,1,2,0,3,EDM,4,0
22,32,22,Edmonton Oilers,2014-03-30T22:00:00Z,0,0,26,0,2013021124,0,0.8333,0.0,0.6,H,33,4,0,0,0,NYR,1,0,1,5,EDM,6,1
37,33,22,Edmonton Oilers,2014-04-01T23:30:00Z,0,1,29,0,2013021139,0,0.8571,0.3333,0.4637,R,32,3,0,0,4,SJS,1,0,1,5,EDM,7,1
35,26,22,Edmonton Oilers,2014-04-02T23:00:00Z,0,1,32,0,2013021142,0,1.0,0.3333,0.4354,R,27,3,0,0,2,ANA,1,0,1,3,EDM,3,0
41,26,22,Edmonton Oilers,2014-04-04T23:00:00Z,1,0,26,0,2013021158,0,0.5,0.0,0.397,R,27,1,1,0,2,PHX,1,2,0,2,EDM,2,1
31,36,22,Edmonton Oilers,2014-04-06T22:00:00Z,0,1,28,0,2013021176,0,0.8,0.3333,0.5507,H,38,3,1,0,4,ANA,1,2,0,2,EDM,5,1
25,33,22,Edmonton Oilers,2014-04-08T23:30:00Z,0,1,23,0,2013021189,0,0.5,0.3333,0.468,H,22,3,0,0,1,COL,1,0,1,4,EDM,2,1
28,48,22,Edmonton Oilers,2014-04-10T23:30:00Z,0,0,17,0,2013021203,0,1.0,0.0,0.44,H,22,0,0,0,0,LAK,1,0,1,3,EDM,4,0
25,42,22,Edmonton Oilers,2014-04-13T00:00:00Z,0,1,22,0,2013021219,0,1.0,0.2,0.5098,H,26,5,1,0,5,VAN,1,2,0,2,EDM,2,0
27,26,22,Edmonton Oilers,2014-10-09T23:30:00Z,0,2,40,0,2014020015,0,0.5,0.6666,0.5909,H,39,3,0,0,2,CGY,1,0,1,5,EDM,2,1
41,43,22,Edmonton Oilers,2014-10-11T23:00:00Z,0,1,29,1,2014020031,1,0.7142,0.3333,0.4533,R,34,3,0,0,4,VAN,1,1,0,4,EDM,7,2
33,26,22,Edmonton Oilers,2014-10-14T23:30:00Z,0,0,32,0,2014020046,0,0.6666,0.0,0.431,R,25,3,0,0,1,LAK,1,0,1,6,EDM,3,1
36,30,22,Edmonton Oilers,2014-10-15T23:30:00Z,0,0,27,0,2014020049,0,0.75,0.0,0.4705,R,32,2,0,0,4,ARI,1,0,1,7,EDM,4,1
31,30,22,Edmonton Oilers,2014-10-17T23:30:00Z,0,0,28,0,2014020061,0,1.0,0.0,0.5441,H,37,4,0,0,0,VAN,1,0,1,2,EDM,3,0
32,24,22,Edmonton Oilers,2014-10-20T23:30:00Z,0,0,23,0,2014020078,0,1.0,0.0,0.3962,H,21,2,1,0,3,TBL,1,2,0,2,EDM,2,0
27,34,22,Edmonton Oilers,2014-10-22T23:30:00Z,0,1,20,0,2014020091,0,0.5,0.5,0.5178,H,29,2,1,0,3,WSH,1,2,0,2,EDM,2,1
29,30,22,Edmonton Oilers,2014-10-24T23:30:00Z,0,1,29,0,2014020104,0,1.0,0.25,0.5245,H,32,4,1,0,6,CAR,1,2,0,3,EDM,1,0
29,29,22,Edmonton Oilers,2014-10-27T23:30:00Z,0,0,19,0,2014020123,0,1.0,0.0,0.5606,H,37,6,1,0,3,MTL,1,2,0,0,EDM,4,0
18,35,22,Edmonton Oilers,2014-10-30T00:00:00Z,0,0,27,0,2014020137,0,1.0,0.0,0.6603,H,35,2,0,0,1,NSH,1,0,1,4,EDM,1,0
25,30,22,Edmonton Oilers,2014-11-02T00:00:00Z,0,0,27,0,2014020163,0,1.0,0.0,0.468,H,22,3,0,0,2,VAN,1,0,1,3,EDM,3,0
44,25,22,Edmonton Oilers,2014-11-05T00:00:00Z,0,0,36,0,2014020174,0,0.0,0.0,0.3432,R,23,4,0,0,1,PHI,1,0,1,4,EDM,0,0
36,32,22,Edmonton Oilers,2014-11-07T00:00:00Z,0,1,26,0,2014020187,0,0.5,0.2,0.4285,R,27,5,0,0,2,BOS,1,0,1,5,EDM,4,2
30,31,22,Edmonton Oilers,2014-11-08T00:00:00Z,0,0,52,0,2014020197,0,1.0,0.0,0.6153,R,48,2,1,0,3,BUF,1,2,0,2,EDM,1,0
29,21,22,Edmonton Oilers,2014-11-09T23:00:00Z,0,0,33,0,2014020215,0,1.0,0.0,0.5735,R,39,3,1,0,3,NYR,1,2,0,1,EDM,1,0
32,35,22,Edmonton Oilers,2014-11-12T00:00:00Z,0,0,23,0,2014020227,0,1.0,0.0,0.5362,R,37,2,0,0,2,NSH,1,0,1,3,EDM,2,0
24,30,22,Edmonton Oilers,2014-11-14T00:30:00Z,0,1,37,1,2014020240,0,1.0,0.25,0.5862,H,34,4,0,0,3,OTT,1,1,0,4,EDM,4,0
34,28,22,Edmonton Oilers,2014-11-17T00:00:00Z,0,1,34,0,2014020265,0,0.75,0.25,0.5584,H,43,4,0,0,1,ARI,1,0,1,2,EDM,4,1
37,31,22,Edmonton Oilers,2014-11-19T23:00:00Z,0,1,32,0,2014020279,0,0.6,0.2,0.3934,H,24,5,0,0,4,VAN,1,0,1,5,EDM,5,2
31,26,22,Edmonton Oilers,2014-11-22T00:30:00Z,0,0,29,0,2014020294,0,1.0,0.0,0.4655,H,27,4,0,0,0,NJD,1,0,1,2,EDM,2,0
31,30,22,Edmonton Oilers,2014-11-23T01:00:00Z,0,0,25,0,2014020306,0,0.7142,0.0,0.4561,H,26,2,0,0,1,CHI,1,0,1,7,EDM,7,2
41,34,22,Edmonton Oilers,2014-11-26T00:30:00Z,0,0,37,0,2014020319,0,1.0,0.0,0.4459,R,33,2,0,0,2,DAL,1,0,1,3,EDM,4,0
28,25,22,Edmonton Oilers,2014-11-28T00:00:00Z,0,0,37,1,2014020332,0,1.0,0.0,0.5409,R,33,4,0,0,0,NSH,1,1,0,1,EDM,5,0
42,41,22,Edmonton Oilers,2014-11-29T00:00:00Z,0,0,16,1,2014020342,0,1.0,0.0,0.4166,R,30,0,0,0,3,STL,1,1,0,4,EDM,3,0
27,24,22,Edmonton Oilers,2014-12-02T00:30:00Z,0,1,27,0,2014020360,0,0.3333,0.2,0.5645,H,35,5,0,0,2,ARI,1,0,1,5,EDM,3,2
18,26,22,Edmonton Oilers,2014-12-04T01:00:00Z,0,0,24,1,2014020374,0,0.0,0.0,0.5813,R,25,1,0,0,2,WPG,1,1,0,3,EDM,0,0
31,21,22,Edmonton Oilers,2014-12-08T00:00:00Z,0,1,24,0,2014020405,0,1.0,0.5,0.4363,H,24,2,1,0,2,SJS,1,2,0,1,EDM,2,0
37,24,22,Edmonton Oilers,2014-12-10T00:30:00Z,0,0,27,0,2014020418,0,0.0,0.0,0.4558,R,31,2,0,0,2,SJS,1,0,1,5,EDM,1,1
43,34,22,Edmonton Oilers,2014-12-11T00:00:00Z,0,0,22,0,2014020420,0,0.75,0.0,0.3281,R,21,2,0,0,1,ANA,1,0,1,2,EDM,4,1
34,20,22,Edmonton Oilers,2014-12-13T00:30:00Z,0,1,23,0,2014020434,0,0.5,0.25,0.4925,H,33,4,0,0,2,ANA,1,0,1,4,EDM,2,1
23,22,22,Edmonton Oilers,2014-12-15T00:30:00Z,0,0,16,0,2014020450,0,1.0,0.0,0.4772,H,21,2,0,0,0,NYR,1,0,1,2,EDM,1,0
33,44,22,Edmonton Oilers,2014-12-17T00:00:00Z,0,0,32,1,2014020463,0,1.0,0.0,0.431,R,25,2,0,0,1,ARI,1,1,0,2,EDM,4,0
20,30,22,Edmonton Oilers,2014-12-19T00:30:00Z,0,0,28,0,2014020473,0,0.6666,0.0,0.5348,R,23,1,0,0,3,SJS,1,0,1,4,EDM,3,1
29,45,22,Edmonton Oilers,2014-12-21T21:00:00Z,0,1,29,1,2014020492,1,0.6666,1.0,0.5735,H,39,1,0,0,5,DAL,1,1,0,5,EDM,3,1
39,22,22,Edmonton Oilers,2014-12-23T23:00:00Z,0,0,27,0,2014020510,0,1.0,0.0,0.409,H,27,6,0,0,1,ARI,1,0,1,5,EDM,2,0
38,27,22,Edmonton Oilers,2014-12-28T01:00:00Z,0,0,27,0,2014020525,0,1.0,0.0,0.377,R,23,5,0,0,1,CGY,1,0,1,4,EDM,3,0
34,39,22,Edmonton Oilers,2014-12-31T00:30:00Z,1,0,21,0,2014020543,0,0.6666,0.0,0.3703,H,20,3,1,0,2,LAK,1,2,0,2,EDM,3,1
31,28,22,Edmonton Oilers,2015-01-01T00:30:00Z,0,1,20,1,2014020555,0,0.8,0.3333,0.4561,R,26,3,0,0,3,CGY,1,1,0,4,EDM,5,1
33,28,22,Edmonton Oilers,2015-01-03T00:00:00Z,0,1,28,1,2014020563,1,1.0,0.3333,0.5352,R,38,3,0,0,1,COL,1,1,0,1,EDM,2,0
30,33,22,Edmonton Oilers,2015-01-05T00:30:00Z,0,0,23,0,2014020582,0,0.5,0.0,0.4915,H,29,2,1,0,5,NYI,1,2,0,2,EDM,4,2
30,41,22,Edmonton Oilers,2015-01-07T00:30:00Z,0,1,23,0,2014020592,0,0.5,0.3333,0.5588,H,38,3,0,0,2,DET,1,0,1,4,EDM,6,3
28,21,22,Edmonton Oilers,2015-01-10T00:30:00Z,0,1,22,0,2014020612,0,1.0,0.5,0.5,H,28,2,1,0,5,CHI,1,2,0,2,EDM,2,0
24,27,22,Edmonton Oilers,2015-01-11T22:00:00Z,0,0,33,0,2014020624,0,1.0,0.0,0.5636,H,31,2,0,0,2,FLA,1,0,1,4,EDM,2,0
30,29,22,Edmonton Oilers,2015-01-14T00:00:00Z,0,1,15,0,2014020635,0,1.0,0.3333,0.3181,R,14,3,0,0,2,STL,1,0,1,4,EDM,4,0
29,19,22,Edmonton Oilers,2015-01-16T00:30:00Z,0,1,32,0,2014020648,0,1.0,0.25,0.4727,R,26,4,0,0,2,TBL,1,0,1,3,EDM,1,0
30,37,22,Edmonton Oilers,2015-01-18T00:00:00Z,1,0,34,0,2014020666,0,1.0,0.0,0.5081,R,31,4,1,0,2,FLA,1,2,0,2,EDM,3,0
31,24,22,Edmonton Oilers,2015-01-21T00:00:00Z,1,1,31,0,2014020685,0,0.5,0.1666,0.4833,R,29,6,1,0,4,WSH,1,2,0,4,EDM,2,1
25,29,22,Edmonton Oilers,2015-01-28T00:30:00Z,0,0,24,0,2014020706,0,1.0,0.0,0.5762,H,34,3,0,0,1,MIN,1,0,1,2,EDM,2,0
23,20,22,Edmonton Oilers,2015-01-30T00:30:00Z,0,0,34,0,2014020720,0,1.0,0.0,0.5,H,23,3,1,0,3,BUF,1,2,0,2,EDM,1,0
52,33,22,Edmonton Oilers,2015-02-01T01:00:00Z,0,0,19,0,2014020736,0,0.75,0.0,0.35,R,28,1,0,0,2,CGY,1,0,1,4,EDM,4,1
35,37,22,Edmonton Oilers,2015-02-03T00:30:00Z,1,0,40,0,2014020744,0,0.5,0.0,0.4852,R,33,1,1,0,4,SJS,1,2,0,4,EDM,2,1
25,26,22,Edmonton Oilers,2015-02-04T23:00:00Z,0,0,22,0,2014020757,0,0.0,0.0,0.5454,H,30,1,0,0,0,PIT,1,0,1,2,EDM,0,0
26,28,22,Edmonton Oilers,2015-02-08T00:00:00Z,0,0,32,0,2014020777,0,0.6666,0.0,0.6,R,39,2,0,0,1,TOR,1,0,1,5,EDM,3,1
19,14,22,Edmonton Oilers,2015-02-10T00:00:00Z,0,1,24,0,2014020792,0,1.0,0.3333,0.6122,R,30,3,1,0,2,NJD,1,2,0,1,EDM,1,0
37,28,22,Edmonton Oilers,2015-02-11T00:00:00Z,0,2,36,0,2014020799,0,1.0,0.6666,0.4032,R,25,3,0,0,2,NYI,1,0,1,3,EDM,2,0
35,26,22,Edmonton Oilers,2015-02-13T00:30:00Z,0,0,38,0,2014020811,0,1.0,0.0,0.4444,R,28,3,1,0,4,MTL,1,2,0,3,EDM,3,0
26,42,22,Edmonton Oilers,2015-02-14T19:00:00Z,0,0,27,0,2014020823,0,0.0,0.0,0.5,R,26,2,0,0,2,OTT,1,0,1,7,EDM,2,2
40,46,22,Edmonton Oilers,2015-02-17T00:00:00Z,0,2,22,1,2014020841,1,0.6666,0.5,0.4202,R,29,4,0,0,4,WPG,1,1,0,4,EDM,3,1
30,41,22,Edmonton Oilers,2015-02-19T01:00:00Z,1,2,30,0,2014020857,0,0.0,0.5,0.5588,H,38,4,1,0,3,BOS,1,2,0,3,EDM,1,1
19,29,22,Edmonton Oilers,2015-02-21T00:00:00Z,0,0,15,0,2014020872,0,0.0,0.0,0.5957,H,28,1,0,0,0,MIN,1,0,1,4,EDM,0,0
22,21,22,Edmonton Oilers,2015-02-21T22:00:00Z,0,0,27,0,2014020879,0,0.0,0.0,0.5416,H,26,2,0,0,1,ANA,1,0,1,2,EDM,1,1
40,34,22,Edmonton Oilers,2015-02-25T00:00:00Z,0,0,19,0,2014020901,0,1.0,0.0,0.3939,R,26,2,1,0,2,MIN,1,2,0,1,EDM,3,0
31,27,22,Edmonton Oilers,2015-03-01T01:00:00Z,0,0,22,0,2014020931,0,1.0,0.0,0.415,H,22,1,0,0,1,STL,1,0,1,2,EDM,2,0
30,29,22,Edmonton Oilers,2015-03-04T00:30:00Z,0,1,23,0,2014020950,0,1.0,0.25,0.3877,H,19,4,0,0,2,LAK,1,0,1,5,EDM,3,0
38,39,22,Edmonton Oilers,2015-03-07T00:30:00Z,0,0,47,1,2014020968,1,1.0,0.0,0.387,R,24,0,0,0,1,CHI,1,1,0,1,EDM,2,0
43,35,22,Edmonton Oilers,2015-03-08T19:00:00Z,0,2,20,0,2014020980,0,0.4,0.6666,0.3582,R,24,3,0,0,4,CAR,1,0,1,7,EDM,5,3
33,26,22,Edmonton Oilers,2015-03-09T23:30:00Z,0,1,38,0,2014020987,0,0.6666,0.2,0.4,R,22,5,0,0,2,DET,1,0,1,5,EDM,3,1
32,34,22,Edmonton Oilers,2015-03-12T23:00:00Z,0,2,29,0,2014021003,0,0.6666,0.5,0.4754,R,29,4,0,0,4,PIT,1,0,1,6,EDM,3,1
36,31,22,Edmonton Oilers,2015-03-13T23:00:00Z,0,3,35,1,2014021015,1,0.75,0.6,0.4375,R,28,5,0,0,4,CBJ,1,1,0,4,EDM,4,1
33,29,22,Edmonton Oilers,2015-03-16T23:30:00Z,0,2,32,0,2014021039,0,0.8,0.3333,0.5147,H,35,6,1,0,4,TOR,1,2,0,1,EDM,5,1
38,20,22,Edmonton Oilers,2015-03-19T00:00:00Z,0,1,47,1,2014021051,1,1.0,0.1666,0.4411,H,30,6,0,0,3,CBJ,1,1,0,3,EDM,1,0
31,31,22,Edmonton Oilers,2015-03-22T00:00:00Z,0,0,34,0,2014021078,0,0.75,0.0,0.415,H,22,4,1,0,5,PHI,1,2,0,4,EDM,4,1
35,24,22,Edmonton Oilers,2015-03-23T23:30:00Z,0,0,34,0,2014021089,0,0.5,0.0,0.3859,H,22,4,0,0,1,WPG,1,0,1,4,EDM,4,2
32,44,22,Edmonton Oilers,2015-03-25T22:00:00Z,0,1,34,0,2014021099,0,0.8,1.0,0.5076,H,33,1,1,0,4,COL,1,2,0,3,EDM,5,1
43,29,22,Edmonton Oilers,2015-03-27T23:30:00Z,0,0,28,0,2014021114,0,1.0,0.0,0.3064,H,19,1,1,0,4,DAL,1,2,0,0,EDM,3,0
28,30,22,Edmonton Oilers,2015-03-30T23:00:00Z,0,0,36,0,2014021140,0,1.0,0.0,0.4716,R,25,0,1,0,4,COL,1,2,0,1,EDM,1,0
28,27,22,Edmonton Oilers,2015-04-01T23:00:00Z,0,0,23,0,2014021151,0,1.0,0.0,0.4814,R,26,3,0,0,1,ANA,1,0,1,5,EDM,1,0
34,33,22,Edmonton Oilers,2015-04-02T23:30:00Z,0,1,30,0,2014021161,0,0.5,0.3333,0.4848,R,32,3,0,0,2,LAK,1,0,1,8,EDM,2,1
27,29,22,Edmonton Oilers,2015-04-05T00:00:00Z,0,0,27,0,2014021178,0,0.0,0.0,0.5344,H,31,0,0,0,0,CGY,1,0,1,4,EDM,1,1
17,27,22,Edmonton Oilers,2015-04-07T23:30:00Z,0,0,22,0,2014021199,0,0.0,0.0,0.6458,H,31,1,1,0,4,LAK,1,2,0,2,EDM,2,2
34,52,22,Edmonton Oilers,2015-04-09T23:30:00Z,0,0,27,0,2014021212,0,1.0,0.0,0.4687,H,30,2,0,0,1,SJS,1,0,1,3,EDM,1,0
21,23,22,Edmonton Oilers,2015-04-11T23:00:00Z,0,0,28,1,2014021230,0,1.0,0.0,0.65,R,39,1,0,0,5,VAN,1,1,0,6,EDM,3,0
34,31,22,Edmonton Oilers,2015-10-08T23:00:00Z,0,1,24,0,2015020008,0,1.0,0.3333,0.3584,R,19,3,0,0,1,STL,1,0,1,3,EDM,3,0
34,26,22,Edmonton Oilers,2015-10-10T22:00:00Z,0,0,31,0,2015020024,0,1.0,0.0,0.5211,R,37,5,0,0,0,NSH,1,0,1,2,EDM,2,0
38,52,22,Edmonton Oilers,2015-10-13T23:30:00Z,0,0,28,0,2015020043,0,1.0,0.0,0.377,R,23,1,0,0,2,DAL,1,0,1,4,EDM,4,0
27,29,22,Edmonton Oilers,2015-10-15T23:00:00Z,0,0,26,0,2015020056,0,0.75,0.0,0.5645,H,35,5,0,0,2,STL,1,0,1,4,EDM,4,1
33,24,22,Edmonton Oilers,2015-10-18T00:00:00Z,0,1,28,0,2015020073,0,0.75,0.25,0.5657,R,43,4,1,0,5,CGY,1,2,0,2,EDM,4,1
31,34,22,Edmonton Oilers,2015-10-18T22:00:00Z,0,1,24,0,2015020078,0,1.0,0.5,0.326,R,15,2,1,0,2,VAN,1,2,0,1,EDM,2,0
34,29,22,Edmonton Oilers,2015-10-21T23:30:00Z,0,1,28,0,2015020090,0,1.0,0.3333,0.4137,H,24,3,1,0,3,DET,1,2,0,1,EDM,6,0
32,26,22,Edmonton Oilers,2015-10-23T23:00:00Z,0,1,23,0,2015020104,0,0.5,0.1666,0.4838,H,30,6,0,0,4,WSH,1,0,1,7,EDM,4,2
